obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
34,1796-07-08 06:44:51.000,,t_B,v,FALSE,FALSE,
34,1796-07-08 06:44:58.000,,t_B,h,FALSE,FALSE,
34,1796-07-08 06:46:25.000,,S,v,FALSE,FALSE,
34,1796-07-08 06:46:26.500,,S,h,FALSE,FALSE,
35,1796-07-08 06:48:14.000,,S,h,FALSE,FALSE,
35,1796-07-08 06:48:33.000,,S,v,FALSE,FALSE,
35,1796-07-08 06:50:00.500,,t_B,h,FALSE,FALSE,
35,1796-07-08 06:50:18.500,,t_B,v,FALSE,FALSE,
35,1796-07-08 06:51:26.000,,S,h,FALSE,FALSE,
35,1796-07-08 06:51:52.000,,S,v,FALSE,FALSE,
40,1796-07-09 06:22:08.000,,S,v,TRUE,FALSE,
40,1796-07-09 06:22:47.000,,S,h,TRUE,FALSE,
40,1796-07-09 06:24:01.000,,t,v,TRUE,FALSE,
40,1796-07-09 06:24:14.500,,t,h,TRUE,FALSE,
40,1796-07-09 06:25:43.000,,S,h,TRUE,FALSE,
40,1796-07-09 06:25:49.000,,S,v,TRUE,FALSE,
38,1796-07-09 06:15:57.500,,S,h,TRUE,FALSE,
38,1796-07-09 06:16:04.000,,S,v,TRUE,FALSE,
38,1796-07-09 06:17:23.000,,t,h,TRUE,FALSE,
38,1796-07-09 06:18:53.000,1796-07-09 06:17:53.000,t,v,TRUE,FALSE,
38,1796-07-09 06:18:56.000,,S,h,TRUE,FALSE,
38,1796-07-09 06:19:45.000,,S,v,TRUE,FALSE,
36,1796-07-09 06:09:46.500,,S,h,FALSE,FALSE,
36,1796-07-09 06:10:53.000,,S,v,FALSE,FALSE,
36,1796-07-09 06:11:16.000,,t,h,FALSE,FALSE,
36,1796-07-09 06:12:21.000,,t,v,FALSE,FALSE,
36,1796-07-09 06:12:58.000,,S,h,FALSE,FALSE,
36,1796-07-09 06:14:08.500,,S,v,FALSE,FALSE,
37,1796-07-09 06:15:39.000,,S,v,FALSE,FALSE,
37,1796-07-09 06:16:00.000,,S,h,FALSE,FALSE,
37,1796-07-09 06:17:06.000,,t,v,FALSE,FALSE,
37,1796-07-09 06:17:31.500,,t,h,FALSE,FALSE,
37,1796-07-09 06:18:53.000,,S,v,FALSE,FALSE,
37,1796-07-09 06:19:13.000,,S,h,FALSE,FALSE,
39,1796-07-09 06:21:19.000,,S,v,FALSE,FALSE,
39,1796-07-09 06:21:22.000,,S,h,FALSE,FALSE,
39,1796-07-09 06:22:45.500,,t,v,FALSE,FALSE,
39,1796-07-09 06:22:55.500,,t,h,FALSE,FALSE,
39,1796-07-09 06:24:31.000,,S,v,FALSE,FALSE,
39,1796-07-09 06:24:38.000,,S,h,FALSE,FALSE,
41,1796-07-09 06:26:11.000,,S,v,FALSE,FALSE,
41,1796-07-09 06:26:35.000,,S,h,FALSE,FALSE,
41,1796-07-09 06:27:36.000,,t,v,FALSE,FALSE,
41,1796-07-09 06:28:08.000,,t,h,FALSE,FALSE,
41,1796-07-09 06:29:22.000,,S,v,FALSE,FALSE,
41,1796-07-09 06:29:51.000,,S,h,FALSE,FALSE,
46,1796-07-10 06:26:40.500,,S,v,TRUE,FALSE,
46,1796-07-10 06:27:11.000,,S,h,TRUE,FALSE,
46,1796-07-10 06:28:16.000,,t,v,TRUE,FALSE,
46,1796-07-10 06:28:22.500,,t,h,TRUE,FALSE,
46,1796-07-10 06:30:10.000,,S,h,TRUE,FALSE,
46,1796-07-10 06:30:16.000,,S,v,TRUE,FALSE,
47,1796-07-10 06:32:01.000,,S,v,TRUE,FALSE,
47,1796-07-10 06:32:05.000,,S,h,TRUE,FALSE,
47,1796-07-10 06:34:15.500,1796-07-10 06:33:15.500,t,h,TRUE,FALSE,
47,1796-07-10 06:34:38.000,1796-07-10 06:33:38.000,t,v,TRUE,FALSE,
47,1796-07-10 06:36:01.500,1796-07-10 06:35:01.500,S,h,TRUE,FALSE,
47,1796-07-10 06:36:41.000,1796-07-10 06:35:41.000,S,v,TRUE,FALSE,
48,1796-07-10 06:38:15.000,,S,h,TRUE,FALSE,
48,1796-07-10 06:38:31.000,,S,v,TRUE,FALSE,
48,1796-07-10 06:39:26.000,,t,h,TRUE,FALSE,
48,1796-07-10 06:40:07.000,,t,v,TRUE,FALSE,
48,1796-07-10 06:41:12.000,,S,h,TRUE,FALSE,
48,1796-07-10 06:42:09.000,,S,v,TRUE,FALSE,
49,1796-07-10 06:46:31.000,,S,v,TRUE,FALSE,
49,1796-07-10 06:46:34.000,,S,h,TRUE,FALSE,
49,1796-07-10 06:47:43.000,,t,h,TRUE,FALSE,
49,1796-07-10 06:48:09.500,,t,v,TRUE,FALSE,
49,1796-07-10 06:49:28.000,,S,h,TRUE,FALSE,
49,1796-07-10 06:50:13.000,,S,v,TRUE,FALSE,
42,1796-07-10 06:04:45.000,,S,h,FALSE,FALSE,
42,1796-07-10 06:04:57.000,,S,v,FALSE,FALSE,
42,1796-07-10 06:06:01.000,,t,h,FALSE,FALSE,
42,1796-07-10 06:06:10.000,,t,v,FALSE,FALSE,
42,1796-07-10 06:07:55.000,,S,h,FALSE,FALSE,
42,1796-07-10 06:08:16.000,,S,v,FALSE,FALSE,
43,1796-07-10 06:09:49.500,,S,h,FALSE,FALSE,
43,1796-07-10 06:10:00.500,,S,v,FALSE,FALSE,
43,1796-07-10 06:11:02.000,,t,h,FALSE,FALSE,
43,1796-07-10 06:11:15.000,,t,v,FALSE,FALSE,
43,1796-07-10 06:12:55.000,,S,h,FALSE,FALSE,
43,1796-07-10 06:13:22.500,,S,v,FALSE,FALSE,
44,1796-07-10 06:18:06.000,,S,v,FALSE,FALSE,
44,1796-07-10 06:18:21.000,,S,h,FALSE,FALSE,
44,1796-07-10 06:19:19.000,,t,v,FALSE,FALSE,
44,1796-07-10 06:19:35.000,,t,h,FALSE,FALSE,
44,1796-07-10 06:21:26.000,,S,v,FALSE,FALSE,
44,1796-07-10 06:21:29.000,,S,h,FALSE,FALSE,
45,1796-07-10 06:23:16.000,,S,v,FALSE,FALSE,
45,1796-07-10 06:23:32.500,,S,h,FALSE,FALSE,
45,1796-07-10 06:24:30.000,,t,v,FALSE,FALSE,
45,1796-07-10 06:24:46.000,,t,h,FALSE,FALSE,
45,1796-07-10 06:26:37.000,,S,v,FALSE,FALSE,
45,1796-07-10 06:26:39.000,,S,h,FALSE,FALSE,
50,1796-07-11 06:59:38.000,,S,h,TRUE,FALSE,
50,1796-07-11 06:59:48.500,,S,v,TRUE,FALSE,
50,1796-07-11 07:00:35.000,,t_B,h,TRUE,FALSE,
50,1796-07-11 07:01:07.000,,t_B,v,TRUE,FALSE,
50,1796-07-11 07:02:39.000,,S,h,TRUE,FALSE,
50,1796-07-11 07:03:19.000,,S,v,TRUE,FALSE,
51,1796-07-11 07:05:56.000,,S,h,TRUE,FALSE,
51,1796-07-11 07:06:05.000,,S,v,TRUE,FALSE,
51,1796-07-11 07:06:50.000,,t_B,h,TRUE,FALSE,
51,1796-07-11 07:07:27.500,,t_B,v,TRUE,FALSE,
51,1796-07-11 07:08:53.000,,S,h,TRUE,FALSE,
51,1796-07-11 07:09:43.000,,S,v,TRUE,FALSE,
52,1796-07-11 07:12:06.000,,S,h,TRUE,FALSE,
52,1796-07-11 07:12:21.000,,S,v,TRUE,FALSE,
52,1796-07-11 07:13:01.500,,t_B,h,TRUE,FALSE,
52,1796-07-11 07:13:43.000,,t_B,v,TRUE,FALSE,
52,1796-07-11 07:14:17.000,,t_C,h,TRUE,FALSE,
52,1796-07-11 07:14:20.000,,t_D,h,TRUE,FALSE,
52,1796-07-11 07:15:04.000,,S,h,TRUE,FALSE,
52,1796-07-11 07:15:14.000,,t_C,v,TRUE,FALSE,
52,1796-07-11 07:15:17.000,,t_D,v,TRUE,FALSE,
52,1796-07-11 07:15:58.000,,S,v,TRUE,FALSE,
53,1796-07-11 07:18:19.000,,S,h,TRUE,FALSE,
53,1796-07-11 07:18:31.500,,S,v,TRUE,FALSE,
53,1796-07-11 07:19:13.000,,t_B,h,TRUE,FALSE,
53,1796-07-11 07:19:56.000,,t_B,v,TRUE,FALSE,
53,1796-07-11 07:20:29.000,,t_C,h,TRUE,FALSE,
53,1796-07-11 07:20:31.000,,t_D,h,TRUE,FALSE,
53,1796-07-11 07:21:13.000,,S,h,TRUE,FALSE,
53,1796-07-11 07:21:25.000,,t_C,v,TRUE,FALSE,
53,1796-07-11 07:21:28.000,,t_D,v,TRUE,FALSE,
53,1796-07-11 07:22:13.000,,S,v,TRUE,FALSE,
54,1796-07-13 06:12:01.000,,S,v,FALSE,FALSE,
54,1796-07-13 06:12:31.000,,S,h,FALSE,FALSE,
54,1796-07-13 06:14:16.000,,t_E,v,FALSE,FALSE,
54,1796-07-13 06:14:52.500,,t_E,h,FALSE,FALSE,
54,1796-07-13 06:15:19.000,,S,v,FALSE,FALSE,
54,1796-07-13 06:15:37.000,,S,h,FALSE,FALSE,
55,1796-07-13 06:17:44.500,1796-07-13 06:17:14.000,S,h,FALSE,FALSE,
55,1796-07-13 06:17:14.000,1796-07-13 06:17:44.500,S,v,FALSE,FALSE,
55,1796-07-13 06:19:59.500,1796-07-13 06:19:36.500,t_E,h,FALSE,FALSE,
55,1796-07-13 06:19:36.500,1796-07-13 06:19:59.500,t_E,v,FALSE,FALSE,
55,1796-07-13 06:21:01.000,1796-07-13 06:20:22.000,S,h,FALSE,FALSE,
55,1796-07-13 06:20:22.000,1796-07-13 06:21:01.000,S,v,FALSE,FALSE,
56,1796-07-13 06:22:16.500,,S,v,FALSE,FALSE,
56,1796-07-13 06:23:09.500,,S,h,FALSE,FALSE,
56,1796-07-13 06:24:32.000,,t_E,v,FALSE,FALSE,
56,1796-07-13 06:25:31.000,,t_E,h,FALSE,FALSE,
56,1796-07-13 06:25:34.500,,S,v,FALSE,FALSE,
56,1796-07-13 06:26:15.000,,S,h,FALSE,FALSE,
57,1796-07-13 06:27:38.000,,S,v,FALSE,FALSE,
57,1796-07-13 06:27:50.000,,S,h,FALSE,FALSE,
57,1796-07-13 06:28:52.500,1796-07-13 06:29:52.500,t_E,v,FALSE,FALSE,
57,1796-07-13 06:29:13.000,1796-07-13 06:30:13.000,t_E,h,FALSE,FALSE,
57,1796-07-13 06:30:54.000,,S,v,FALSE,FALSE,
57,1796-07-13 06:30:59.000,,S,h,FALSE,FALSE,
58,1796-07-14 07:26:58.000,,S,v,TRUE,FALSE,
58,1796-07-14 07:27:11.000,,S,h,TRUE,FALSE,
58,1796-07-14 07:28:37.000,,t_F,v,TRUE,FALSE,
58,1796-07-14 07:29:01.000,,t_F,h,TRUE,FALSE,
58,1796-07-14 07:29:49.000,,S,v,TRUE,FALSE,
61,1796-07-15 08:14:20.000,,S,h,TRUE,FALSE,
61,1796-07-15 08:14:57.000,,S,v,TRUE,FALSE,
61,1796-07-15 08:16:01.500,,t_F,h,TRUE,FALSE,
61,1796-07-15 08:17:28.000,1796-07-15 08:16:58.000,t_F,v,TRUE,FALSE,
61,1796-07-15 08:16:07.000,1796-07-15 08:17:07.000,S,h,TRUE,FALSE,
62,1796-07-15 08:19:20.500,,S,h,TRUE,FALSE,
62,1796-07-15 08:19:35.500,,S,v,TRUE,FALSE,
62,1796-07-15 08:21:01.000,,t_F,h,TRUE,FALSE,
62,1796-07-15 08:22:06.500,,t_F,v,TRUE,FALSE,
63,1796-07-15 08:25:43.000,,S,v,TRUE,FALSE,
63,1796-07-15 08:26:21.000,,S,h,TRUE,FALSE,
63,1796-07-15 08:28:04.000,,t_F,h,TRUE,FALSE,
63,1796-07-15 08:28:10.000,,t_F,v,TRUE,FALSE,
63,1796-07-15 08:29:11.000,,S,h,TRUE,FALSE,
